Boston, New York, USA	42.6289858 -78.7376213
Voorhees, New Jersey, USA	39.8512162 -74.9619779
Broke, New South Wales, Australia	-32.7477265 151.102302
Jadran Film, Zagreb, Croatia	45.8341968 16.044054979765413
North Carolina, USA	35.6729639 -79.0392919
Vijayawada, Andhra Pradesh, India	16.5087586 80.6185102
Barcelona, Spain.	41.3828939 2.1774322
Biri, Samar, Philippines	12.74184485 124.37800382051503
Pulkkila, Finland	61.2372385 25.4871068
Castaway Cay, Bahamas	26.0914765 -77.5408936
Glanworth, County Cork, Ireland	52.186667 -8.3575
Lumiar, Lisbon, Portugal	38.7713305 -9.163768329774571
USS Blueback	45.50788785 -122.66688658996905
Villalba, Madrid, Spain	40.6260694 -4.007237939130423
Gilbertsville, Kentucky, USA	37.0245003 -88.2997557
Seine-Maritime, France	49.66323745 0.9401133910609153
50 East 28th Street - Manhattan, New York, USA	40.74367854054054 -73.98513764864865
Magill, South Australia, Australia	-34.9090724 138.6749971
Slave Lake, Alberta, Canada	55.2810741 -114.7717876
Duncan, Oklahoma, USA	34.5023029 -97.9578129
Izumo City, Shimane Prefecture, Japan	35.4298138 133.1520191
Panorama, South Australia, Australia	-34.9998042 138.5972359
Offaly, Ireland	53.117311400000006 -7.005221828240689
Lagos, Algarve, Portugal	37.1489538 -8.702467283736809
Dumai, Indonesia	1.6631967 101.4470369
Schneeberg, Saxony, Germany	50.5950694 12.6417008
26 Chatsworth Ave, Larchmont, NY 10538	40.9298258 -73.7520273
Champlan, Essonne, France	48.7073405 2.2758626
Massillon, Ohio, USA	40.7965119 -81.5231597
Ponte Vedra Beach, Florida, USA	30.2396865 -81.3856384
Cheb, Czech Republic	50.0793511 12.3703526
Eymoutiers, Haute-Vienne, France	45.7389214 1.7432748
Guines, Cuba	22.8371132 -82.0284846
Downtown Dallas, Texas, USA	32.78015365 -96.79907350429801
Ely, Nevada, USA	39.2480588 -114.8917183
Liberty, Texas, USA	30.0856736 -94.7856262
Bebek, Istanbul, Turkey	41.076615 29.0432596
Thiruvalla, Kerala, India	9.3867448 76.5762652
Lost Lake, Oregon, USA	44.903842999999995 -118.22608024990318
Jamalpur, Bangladesh	23.1324314 90.7950879
Mohenjodaro, Pakistan	27.3268899 68.1371029
Limassol, Cyprus	34.6852901 33.0332657
Islas Marietas, Nayarit, Mexico	20.752573050000002 -105.4809002976881
Riscalillo, Guerrero, Mexico	15.771375 -96.1400914
Waldron, Arkansas, USA	34.90336765 -94.09940678314976
Fingal, Co Dublin, Ireland	53.494221249999995 -6.22498020932367
Anif, Salzburg, Austria	47.7497338 13.0638706
Lexington, Massachusetts, USA	42.4473175 -71.2245003
Aleria, Corsica, France	42.0993693 9.497518054122898
Castle Rock State Park, California, USA	37.22930735 -122.12623135073082
Bubenec, Prague, Czech Republic	50.1026083 14.4025321
Isla Tiburon, Sonora, Mexico	28.99650255 -112.35538740044595
Maasholm, Schleswig-Holstein, Germany	54.6843316 9.9915141
Brodec, Macedonia	41.7885379 20.6869581
Legazpi, Madrid, Spain	40.3911717 -3.6951902
Kootwijk, Gelderland, Netherlands	52.1847669 5.7703284
St. Ignace, Michigan, USA	45.8686238 -84.7278281
Keuka Lake, New York, USA	42.528073899999995 -77.10768059831072
Long Branch, New Jersey, USA	40.3042778 -73.9923596
Latrobe, California, USA	38.559629 -120.9838307
Little Desert, Victoria, Australia	-36.485508499999995 141.74487051881175
Lowville, New York, USA	43.7887935 -75.49006409065414
Mt. Carroll, Illinois, USA	42.0948582 -89.9777041
Otford, Kent, UK	51.31091645 0.18667083121820838
Illawarra Region, New South Wales, Australia	-34.46145045 150.7904073797538
Nevsky Avenue, St. Petersburg, Russia	59.9332269 30.3482656
Thanthirimale, Anuradhapura District, Sri Lanka	8.5720594 80.2527827
Mina de Guadalupe, Guanajuato, Mexico	21.0089544 -101.4851439
Vitry-sur-Seine, Val-de-Marne, France	48.7876 2.39164
Kalaloch Beach, Washington, USA	47.58972785 -124.36834857372318
The Sea Ranch, California, USA	38.7149778 -123.455009
Cateura, Paraguay	-25.3338784 -57.6437994
Casalnuovo di Napoli, Napoli, Italy	40.9148194 14.3511247
Buchanan, Virginia, USA	37.5273566 -79.6797614
Kotza Orman, Xanthi, Greece	40.9667216 24.751755677014266
Spruce Grove, Alberta, Canada	51.0281351 -114.4724886
Ettrick, Virginia, USA	37.244345 -77.42918950993123
Bayerischer Wald, Bavaria, Germany	48.909956949999994 13.083330488605739
Central Cabarrus High School - Concord, North Carolina, USA	35.3631539 -80.5834143
Oirschot, Noord-Brabant, Netherlands	51.48896155 5.3005949645046755
Veendam, Groningen, Netherlands	53.0807517 6.877303483300453
South West Rocks, New South Wales, Australia	-30.8943859 153.040677
Bussy-Saint-Georges, Seine-et-Marne, France	48.8430257 2.6973858
Teltow, Brandenburg, Germany	52.4016457 13.2644532
Centerville, California, USA	36.733802 -119.4975895
Gaston, Oregon, USA	45.4362259 -123.1392362
Western New York, USA	42.6840289 -73.84800690530612
Martfu, Hungary	47.0186153 20.2813933
Loxahatchee, Florida, USA	26.973524 -80.131002
Lancaster, South Carolina, USA	34.7204257 -80.7709015
Mirogoj Cemetery, Zagreb, Croatia	45.837847550000006 15.985724005089875
Somerton Park, South Australia, Australia	-34.9964662 138.5198411
Sardis, Mississippi, USA	34.4370511 -89.9159227
Englos, Nord, France	50.6263892 2.9563734
Heist, Schleswig-Holstein, Germany	53.6528424 9.6664509
Loreto, Baja California Sur, Mexico	26.0097913 -111.3452523
Carrefour Orhideea Bucharest, Bucharest, Romania	44.4446384 26.0623705
Hauts-de-Seine, France.	48.840185899999994 2.1986299985796083
San Pedro Jicoras, Durango, Mexico	22.7040752 -104.6142454
Kalkstrand, Sipoo, Finland	60.2531831 25.3915352
Saargau, Saarland, Germany	49.4451971 6.5531918
New Student House, Helsinki, Finland	60.1692995 24.9401906
Pulaski County, Arkansas, USA	34.7550166 -92.3003472
Knoxville, Maryland, USA	39.3270456 -77.6641576
Carriewerloo, South Australia, Australia	-32.32472875 137.3618255103778
Annapurna Studios, Hyderabad, India	17.42851055 78.42369005
Aarhus Universitet, Aarhus, Denmark	56.1670905 10.202617693592895
Moscow River, Moscow, Russia	55.8061118 37.4483487
Polyarny, Murmansk Oblast, Russia	69.199524 33.445839
Toronto, Canada	43.6534817 -79.3839347
Central Coast, New South Wales, Australia	-33.3117096 151.312067495083
Salar de Coipasa, Bolivia	-19.36973735 -68.17159518265252
Brooklyn, Nova Scotia Canada	45.0063821 -64.0108109
Coolangatta, Queensland, Australia	-28.1682934 153.538753
Ahjumawi Lava Springs State Park, California, USA	41.1215368 -121.451396206871
Otira, New Zealand	-42.8293483 171.5613766
Sukabumi, Jawa Barat, Indonesia	-6.9199289 106.9265095
Posusje, Bosnia and Herzegovina	43.4712288 17.3271281
Kalamaria, Greece	40.579875 22.9528551
North & South Philadelphia, Pennsylvania, USA	39.95022795 -75.1636800475114
Oppenheim, Rhineland-Palatinate, Germany	49.8527604 8.3548557
St. Gallen, Kanton St. Gallen, Switzerland	47.4250593 9.3765878
Groot-Bijgaarden, Belgium	50.8707084 4.2651493
Bramston Beach, Queensland, Australia	-17.3495925 146.010814753739
South Dublin, County Dublin, Ireland	53.27326035 -6.407076705243681
Iten, Kenya	0.6730702 35.5102633
Sandals Resort, Ocho Rios, Jamaica	18.4109066 -77.0858813
Kalkar, North Rhine-Westphalia, Germany	51.7388793 6.2927546
Graves County, Kentucky, USA	36.7244966 -88.6569094
Jinju, South Korea	35.1803459 128.1079953
SKC, Belgrade, Serbia	44.8060776 20.464154689354473
Astana, Kazakhstan	51.1282205 71.4306682
Ripley, Mississippi, USA	34.7298181 -88.9506182
Ridgeland, South Carolina, USA	32.4807435 -80.980386
Salto de San Anton, Morelos, Mexico	18.9230851 -99.2446589
Thurmond, West Virginia, USA	37.960757 -81.08075931279028
2505 North Halifax, Daytona Beach Florida, USA	29.2612082 -81.0338164
Elgin, Arizona, USA	31.650702000000003 -110.49014267218385
Chania, Crete, Greece	35.5120831 24.0191544
Sontecomapan, Veracruz, Mexico	18.5040653 -95.034011
Ringgold, Georgia, USA	34.91591 -85.1091173
Deltona, Florida, USA	28.9005446 -81.2636738
Biryulyovo Zapadnoye District, Moscow, Russia	55.5879862 37.6363193
Dumont Dunes, California, USA	35.6833036 -116.2194652
Fort Devens, Massachusetts, USA	42.535332999999994 -71.64579309494891
Vagen, Bavaria, Germany	47.8743361 11.8817544
Auckland, NZ	-36.852095 174.7631803
Sogndalstrand, Rogaland, Norway	58.3237464 6.2840883
Mayfield, Kentucky, USA	36.7413624 -88.6352595
Cedar Fort, Utah, USA	40.3272249 -112.1068456
414 10th Street, Brooklyn New York, USA	40.667858100000004 -73.98573051398307
Key Biscayne, Florida, USA	25.6968351 -80.1635261
Bee Cave, Texas, USA	30.3085373 -97.94501
Alma, Kansas, USA	39.016666 -96.289162
Shipka, Bulgaria	42.7123752 25.3325198
Flynn Springs, California, USA	32.8478104 -116.8607669663471
Himeji Castle, Himeji, Japan	34.83935085 134.6940046
Beaver Falls, Pennsylvania, USA	40.7520097 -80.3192295
Sur, Ash Sharqiyah, Oman	22.5694263 59.5297203
Belgrade, Serbia	44.8178131 20.4568974
Masterton, Wairarapa, New Zealand	-40.9495524 175.6594413
Chambers, Missouri, USA	40.4549946 -94.2485664
Chios island, Greece	38.37581315 26.064655246170453
Ahr, North Rhine-Westphalia, Germany	50.4728741 6.9477258
Davisburg, Michigan, USA	42.7522507 -83.5413334
Stephensville, Louisiana, USA	29.781093 -91.168378
Kapfenberg, Steiermark, Austria	47.4405481 15.2901669
Hospental, Uri, Switzerland	46.6189452 8.5685985
32 Pembroke Street Lower, Dublin, Ireland	53.33706885 -6.251593693867821
Nimrud, Iraq	36.0981957 43.32886426728923
Nyora, Victoria, Australia	-38.3332857 145.6689925
Scott, Louisiana, USA	30.2357569 -92.0945672
St Croix Falls, Wisconsin, USA	45.4104918 -92.6445824
Kitgum, Uganda	3.44388455 33.484117182439014
Winamac, Indiana, USA	41.0514299 -86.6030648
Zanskar River, India	33.5959849 76.9958398
Be'er-Sheva, Israel	31.2457442 34.7925181
Beaconsfield, England, UK	51.6082881 -0.6571233
Bonne Bay, Newfoundland and Labrador, Canada	47.6483443 -56.21265323380282
Nord-Pas-de-Calais, France	50.52896905 2.4545149091687457
San Bernardino, California, USA	34.8253019 -116.0833144
Sepidan, Iran	30.2623521 51.9836519
Jumet, Belgium	50.4421323 4.4350275
Los Altos Skate Park 10140 Lomas Blvd NE Albuquerque, New Mexico, USA	35.086920649999996 -106.53838869129967
Ostra, Marche, Italy	43.612527 13.1580611
Vaucresson, Hauts-de-Seine, France	48.8392676 2.1575981
Fayetteville, Arkansas, USA	36.0625843 -94.1574328
Fleetwood, New York, USA	40.9269945 -73.8398879
Khoy, Iran	38.5504343 44.95354
Upper Sacramento River, California, USA	41.2881408 -122.3564943
Wakefield, England, UK	53.6829541 -1.4967286
Asiana Hotel, Dubai, United Arab Emirates	25.2697193 55.325244925
Riverdale, California, USA	36.425687999999994 -119.8561586660079
Oklungen, Norway	59.1761366 9.810355
Tirunelveli, Tamil Nadu, India	8.722388 77.710247
Rennsteig, Thuringia, Germany	50.6151514 10.8354394
Veyo, Utah, USA	37.3386223 -113.6922901
InterContinental Dhaka, Dhaka, Bangladesh	23.7412386 90.3970716
Purworejo, Indonesia	-7.7073021 109.96651169154023
Yankton, South Dakota, USA	42.8712938 -97.3967011
Lawrenceville, Georgia, USA	33.9562149 -83.9879625
Tahtali, Antalya, Turkey	36.5362899 30.4421812
Florence, Oregon, USA	43.9800086 -124.1013089
Tanjung Malim, Perak, Malaysia	3.6962015 101.5199459
Wadena, Minnesota, USA	46.5850936 -94.9606684
Jemez Mountains, New Mexico, USA	35.613919 -106.7258114
Krasnoselkupsky District, Yamalo-Nenets Autonomous Okrug, Russia	64.58929365 82.7540071962041
Benitatxell, Alicante, Spain	38.6417426 0.0684664
Fenyang, China	37.2683004 111.7830029
Barra de Navidad, Jalisco, Mexico	19.2056444 -104.6820897
Garden City, Georgia, USA	32.1143715 -81.1540013
Erfoud, Morocco	31.434992049999998 -4.232829342957164
Residence Inn - 45 South 8th Street Minneapolis, Minnesota, USA	44.9761837 -93.2741682
Normandy American Cemetery, France	49.358627049999996 -0.8546771030910058
Tennyson, South Australia, Australia	-34.8861961 138.4853423
Ulvenhout, Netherlands	51.5488223 4.7977709
Escalos de Baixo, Portugal	39.8593294 -7.371984109410785
Geylang Rd., Lorong 33, Singapore	1.3100714 103.8759922
1916 Drake Rd, Lebanon	39.4539417 -84.1844031
Leonia, New Jersey, USA	40.8617353 -73.9880495
New Kensington, Pennsylvania, USA	40.5697893 -79.7647705
Histria, Romania	44.5479748 28.7754575
Coldstream, Eastern Cape, South Africa	-33.9638298 23.7125156
Palacio Real, Madrid, Spain	40.4178207 -3.715111449946334
Copacabana Palace Hotel, Rio de Janeiro, Brazil	-22.9670027 -43.1790751
Prosecnice, Krhanice, Czech Republic	49.8614254 14.5327773
Chocolate Hills, Bohol, Philippines	9.7982496 124.1684616
Tuti, Peru	-15.5330178 -71.5495931
Amboseli, Kenya	-2.6433319 37.2590753
Tererro, New Mexico, USA	35.7419764 -105.6750171
Heze, Shandong, China	35.2477266 115.4464761
Kentwood, Michigan, USA	42.8694731 -85.6447492
Serengeti Plain, Tanzania	-1.8091761 34.4101278
Porteau Cove Provincial Park, British Columbia, Canada	49.5561601 -123.23890481383675
Boult-sur-Suippe, Marne, France	49.3708335 4.1478223
Rio Mayo, Sonora, Mexico	27.5715142 -108.8671744
Riviera Maya, Quintana Roo, Mexico	20.621933 -87.0757075
Croatia	45.5643442 17.0118954
Fontellas, Navarra, Spain	42.0281362 -1.5761274
Burgenland, Austria	47.5000001 16.4166666
Nasielsk, Mazowieckie, Poland	52.5867531 20.8130115
Castlepoint, Wellington Region, New Zealand	-40.9008816 176.2217236
Pepinster, Wallonia, Belgium	50.5675217 5.8037101
El-Karnak, Luxor, Egypt	25.721736749999998 32.65391353984252
Horice na Sumave, Cesky Krumlov, Czech Republic	48.765938 14.1784068
Husum, Schleswig-Holstein, Germany	54.4853638 9.0538156
Morgan, New Jersey, USA	40.4675893 -74.2723855
Dimock Township, Pennsylvania, USA	41.746304 -75.8984323
Zelzate, Belgium	51.2000036 3.8105002
Buchak, village, Ukraine	49.8696694 31.431848
Woomera Highway, South Australia, Australia	-31.1439553 136.8157731
Barcelona Metro, Barcelona, Spain	41.3976931 2.1397364
Surat Thani, Thailand	9.4674663 98.830042
Cota, Colombia	4.8093624 -74.1015739
Eunice, Louisiana, USA	30.4943669 -92.4176324
Ston, Croatia	42.8383479 17.6962701
Carrigaline, Cork, Ireland	51.8149556 -8.3922675
Sportschule Wedau, Duisburg, Germany	51.4034398 6.7793593
Sherwood Park, Alberta, Canada	53.5256963 -113.2966313
Callander, Ontario, Canada	46.222603 -79.365234
Columbus, New Jersey, USA	40.0726112 -74.7207156
Greasewood Flat, Arizona, USA	31.9197585 -111.8641204
Southwark Bridge, London, England	51.5088513 -0.09408954255523858
916 Washington St. Oregon City, Oregon, USA	45.358319949999995 -122.60264556862153
Lakeside, Oregon, USA	43.575891 -124.174763
Val d'Entremont, Valais, Switzerland	46.0516417 7.1495247
Saint-Martin-la-Plaine, Loire, France	45.546385 4.5926569
Lehigh Acres, Florida, USA	26.6091509 -81.652407
Dale, Oklahoma, USA	35.3900678 -97.0450257
San Lorenzo de El Escorial, Madrid, Spain	40.5926673 -4.1471642
Ada, Minnesota, USA	47.299689 -96.5153463
Jemison, Alabama, USA	32.9596424 -86.7452105
Stirling, Scotland, UK	56.1181242 -3.9360012
Runni, Iisalmi, Finland	63.6020561 26.8865228
Helen�w, Mazowieckie, Poland	52.2970452 21.1140093
Dobrowoda, Swietokrzyskie, Poland	50.4008677 20.7709677
Podkraj, Slovenia	45.8156031 14.6458353
Kitsissuarsuit, Greenland	68.8574131 -53.1212302
Hampton, Ontario, Canada	43.9717503 -78.7469382
Varazdin Castle, Croatia	46.310163 16.33389493330582
Pavullo, Italy	44.339694 10.8341135
Greenbelt, Maryland, USA	38.9933654 -76.88333238304114
White Sulphur Springs, West Virginia, USA	37.7965149 -80.2975734
Tonina, Chiapas, Mexico	16.900608599999998 -92.00960383931317
Tha Chin River, Thailand	14.3040471 100.1487772
Senegal	14.4750607 -14.4529612
Kamaishi, Iwate, Japan	39.2757463 141.8858151
Springville, California, USA	36.123081 -118.83973999924812
19, Saint-Petersburg, Russia	59.9693056 30.327506396467776
Tapada das Necessidades, Lisbon, Portugal	38.70921035 -9.169677753367978
St. Francis, Kansas, USA	39.7722151 -101.799897
Nashville, Indiana, USA	39.20686499999999 -86.24603686694999
Lake Huron, Michigan, USA	46.14622 -84.089827
Bonner, Montana, USA	46.873806 -113.8637614
Valloire, Savoie, France	45.165058 6.4290103
LaSalle County, Illinois, USA	41.3474892 -88.9011861
New Delhi, India	28.6138954 77.2090057
Ch�tel, France	44.1642477 2.1004725
Austin, Nevada, USA	39.4932592 -117.0695386
Moldavia, Romania	46.9110939 27.2407723
Lowell, Arizona, USA	31.4278776 -109.8936853
Lake Piru, California, USA	34.47274625 -118.7514072146488
Pyynikki, Tampere, Finland	61.4938809 23.726347
Blauer Affe, Berlin, Germany	52.4790502 13.4235786
Homestead, Pennsylvania, USA	40.4059025 -79.9119948
Vernon, New Jersey, USA	39.8973938 -75.0317979
Claymore, NSW 2159 Australia	-34.0469444 150.81
Nonsuch Island, Bermuda	32.347080649999995 -64.66395324840303
Monroe County, Georgia, USA	33.0142344 -83.9044159
Massif du Mont-Blanc, Alpes, France	45.81016325 6.735241811057838
Waterbuck Hotel, Nakuru, Kenya	-0.2877473 36.0634981
Cabrespine, Aude, France	43.3631409 2.4598519
Southern Adventist University Collegedale, Tennessee, USA	35.04866285 -85.05075030344011
Westport, Mayo, Ireland	53.8000645 -9.520218
Craig, Iowa, USA	42.8958224 -96.3097474
Saxon, Valais, Switzerland	46.1452873 7.1807405
Beaver, Ohio, USA	39.0306626 -82.8247137
Gibsons, British Columbia, Canada	49.4006197 -123.5089186
Kongens Lyngby, Hovedstaden, Denmark	55.7718649 12.5051413
Paris 13, Paris, France	48.8196076 2.3644444
N. Hollywood, California, USA	34.1729044 -118.3740371
Osterville, Massachusetts, USA	41.6293398 -70.3866806
TD Garden in Boston, Massachusetts, USA	42.361162 -71.06782678830851
Kings Park, New York, USA	40.88373 -73.2544898
Vegetable Market, Kiambu, Kenya	-1.1127308 36.64222327972523
Vratsa, Bulgaria	43.399902499999996 23.716533924123755
Round Island, Alaska, USA	58.60435905 -159.97447747983568
Inc., Manhattan, New York	40.7117673 -74.0116509
Jhelum, Punjab, Pakistan	32.9247256 73.719388
Belozersk, Russia	60.03199 37.7842189
Dinajpur, Bangladesh	25.3044149 89.211717
Chinook, Montana, USA	48.590132 -109.231823
Seagrave, Ontario, Canada	44.2002539 -78.9452435
Myrtle Beach, South Carolina, USA	33.6956461 -78.8900409
Varese, Lombardia, Italy	45.83971285 8.754157594917665
Johnsonville, Wellington, New Zealand	-41.2203388 174.8027606
Rue du Juge du Palais, Marseille, France	43.2965149 5.3729919
Tlaxcala, Mexico	19.416667 -98.166667
Atlanta, GA 30324, USA	33.7668455 -84.4174417503499
Oradea, Romania	47.0549163 21.9285231
Lawrenceburg, Kentucky, USA	38.0371378 -84.8962551
Bergamo, Italy	45.756655699999996 9.754219200862249
Qakh, Azerbaijan	41.42272455 46.91501957705344
Brie-Comte-Robert, Seine-et-Marne, France	48.6904522 2.6166737
Gasparilla Island, Florida, USA	26.772291 -82.2662057
Lincoln Park, New Jersey, USA	40.9242652 -74.3020933
Castans, Aude, France	43.4098321 2.4891505275177503
Winfield, West Virginia, USA	38.5331448 -81.8934676
Saratoga, New York, USA	41.3149011 -74.12503520754366
Taghia, Morocco	31.4020498 -5.01143
Blue Mountains, NSW, Australia	-33.60974105 150.40522373235163
Gower Peninsula, Wales, UK	51.5964296 -4.1475988
Genval, Belgium	50.7220137 4.5029938
Naeba, Japan	36.8459419 138.690323
Moulotte, Meuse, France	49.1016331 5.7398535
Elstree, England, UK	51.6436161 -0.2994431
Waterloo, New York, USA	42.9046933 -76.8627887
Lake Lucerne, Switzerland	46.98551225 8.49867731639839
Pitkin, Colorado, USA	39.2037774 -106.8695332
Chester, Nova Scotia, Canada	44.5413322 -64.2411853
Sochi, Russia	43.5854823 39.723109
Punjabi University, Patiala, India	30.3580954 76.45032538033607
